timestamp,mass_flow_gps,volumetric_flow_slpm,fc_power_kw,fc_voltage_v,fc_current_a
1759878596.2111588,-8e-05,-0.06,0.0,0.0,0.0
1759878626.8524265,-8e-05,-0.06,0.0,0.0,0.0
1759878657.6720243,-8e-05,-0.06,0.0,52.800000000000004,0.0
1759878688.4950054,-8e-05,-0.06,3.7,52.7,70.20872865275142
1759878939.0133114,-0.00043,-0.04,0.0,0.0,0.0
1759878969.3097124,-0.00043,-0.04,0.0,0.0,0.0
1759879000.1322498,-0.00043,-0.04,2.7,57.0,47.36842105263158
1759879030.950529,-0.00043,-0.04,4.1000000000000005,51.400000000000006,79.76653696498056
1759879061.7713075,0.04923,28.46,4.5,51.6,87.20930232558139
1759879092.5927124,0.04761,28.26,4.7,51.6,91.08527131782945
1759879123.4132872,0.04877,32.82,2.4000000000000004,48.900000000000006,49.079754601226995
1759879154.2333455,0.04716,26.74,2.4000000000000004,48.800000000000004,49.180327868852466
1759879185.0535688,0.04653,27.38,2.3000000000000003,48.800000000000004,47.13114754098361
1759879215.8733363,0.04754,32.0,2.1,48.5,43.29896907216495
1759879246.694278,0.04596,25.76,4.7,51.1,91.97651663405088
1759879277.515826,-1.0,-1.0,4.3,50.7,84.81262327416174
1759879308.3381174,0.04615,31.2,4.9,51.2,95.703125
1759879339.1600077,0.04488,25.29,3.1,50.0,62.0
1759879369.9814053,0.0456,21.56,3.2,50.1,63.87225548902195
1759879400.8018026,0.04511,30.51,2.5,49.300000000000004,50.70993914807302
1759879431.6222959,0.04392,24.48,2.0,49.800000000000004,40.16064257028112
1759879462.4422548,0.04468,20.98,3.2,52.6,60.836501901140686
1759879871.173383,0.02082,9.01,0.0,0.0,0.0
1759879901.5995271,0.00843,0.85,0.0,0.0,0.0
1759879932.4264088,-0.00034,-0.03,2.7,55.800000000000004,48.387096774193544
1759879963.2527304,-0.00031,-0.03,3.7,51.1,72.40704500978474
1759879994.0789833,0.04419,24.87,3.4000000000000004,51.400000000000006,66.147859922179
1759880024.9029927,0.04349,23.35,2.5,50.800000000000004,49.212598425196845
1759880055.7286208,0.04468,24.04,2.5,52.300000000000004,47.801147227533455
1759880601.5208676,-5e-05,-0.04,0.0,0.0,0.0
1759880607.0242105,-5e-05,-0.04,0.0,0.0,0.0
1759880613.0499914,-5e-05,-0.04,0.0,0.0,0.0
1759880618.5553875,-5e-05,-0.04,0.0,0.0,0.0
