timestamp,mass_flow_gps,volumetric_flow_slpm,fc_power_kw,fc_voltage_v,fc_current_a
1759948959.092891,-5e-05,-0.04,0.0,0.0,0.0
1759948964.3914273,-5e-05,-0.04,0.0,0.0,0.0
1759948969.896588,-5e-05,-0.04,0.0,0.0,0.0
1759948975.401494,-5e-05,-0.04,0.0,0.0,0.0
1759948980.9054759,-5e-05,-0.04,0.0,0.0,0.0
1759948986.4093275,-5e-05,-0.04,0.0,0.0,0.0
1759948991.913198,-5e-05,-0.04,0.0,0.0,0.0
1759948997.4171746,-5e-05,-0.04,0.0,0.0,0.0
1759949002.9210448,-5e-05,-0.04,0.0,0.0,0.0
1759949008.4250576,-5e-05,-0.04,0.0,0.0,0.0
1759949013.928964,-5e-05,-0.04,0.0,0.0,0.0
1759949019.4331613,-5e-05,-0.04,0.0,0.0,0.0
1759949024.9373,-5e-05,-0.04,0.0,0.0,0.0
1759949030.4412699,-5e-05,-0.04,0.0,0.0,0.0
1759949035.9451609,-5e-05,-0.04,0.0,0.0,0.0
1759949041.4490492,-5e-05,-0.04,0.0,0.0,0.0
1759949046.953087,-5e-05,-0.04,0.0,0.0,0.0
1759949052.45718,-5e-05,-0.04,0.0,0.0,0.0
1759949057.9612913,-5e-05,-0.04,0.0,0.0,0.0
1759949063.465341,-5e-05,-0.04,0.0,0.0,0.0
1759949068.969409,-5e-05,-0.04,0.0,0.0,0.0
1759949074.473431,-1.0,-1.0,0.0,0.0,0.0
1759949079.9772847,-2e-05,-0.01,0.0,0.0,0.0
1759949085.4811108,-4e-05,-0.03,0.0,0.0,0.0
1759949090.9850857,-4e-05,-0.03,0.0,0.0,0.0
1759949096.489072,-4e-05,-0.03,0.0,0.0,0.0
1759949101.992983,-4e-05,-0.03,0.0,0.0,0.0
1759949107.4971287,-5e-05,-0.04,0.0,0.0,0.0
1759949113.001033,-6e-05,-0.04,0.0,0.0,0.0
1759949118.504931,-4e-05,-0.03,0.0,0.0,0.0
1759949124.0090802,-6e-05,-0.05,0.0,0.0,0.0
1759949129.5132403,-4e-05,-0.03,0.0,0.0,0.0
1759949135.0173204,-5e-05,-0.04,0.0,0.0,0.0
1759949140.521229,-4e-05,-0.03,0.0,0.0,0.0
1759949146.0254714,-4e-05,-0.03,0.0,0.0,0.0
1759949151.5295382,-4e-05,-0.03,0.0,0.0,0.0
1759949157.033465,-4e-05,-0.03,0.0,0.0,0.0
1759949162.5377479,-4e-05,-0.03,0.0,0.0,0.0
1759949168.04175,-4e-05,-0.03,0.0,0.0,0.0
1759949173.546091,-4e-05,-0.03,0.0,0.0,0.0
1759949179.0501783,-4e-05,-0.03,0.0,0.0,0.0
1759949184.5541363,-4e-05,-0.03,0.0,0.0,0.0
1759949190.0595329,-4e-05,-0.03,0.0,0.0,0.0
1759949195.56491,-0.00018,-0.04,0.0,0.0,0.0
1759949201.0700436,-0.00018,-0.04,0.0,0.0,0.0
1759949210.748398,0.00058,0.02,0.0,0.0,0.0
1759949216.251749,0.00061,0.02,0.0,0.0,0.0
1759949221.7558372,0.00057,0.02,0.0,0.0,0.0
1759949227.2599263,0.00055,0.02,0.0,0.0,0.0
1759949232.763985,0.00056,0.02,0.0,0.0,0.0
1759949238.268037,0.00057,0.02,0.0,0.0,0.0
1759949243.7721016,0.00055,0.02,0.0,0.0,0.0
1759949249.2765772,0.00056,0.02,0.0,0.0,0.0
1759949254.7810035,0.00055,0.02,0.0,0.0,0.0
1759949260.2850897,0.00051,0.02,0.0,0.0,0.0
1759949265.7892325,0.0005,0.02,0.0,0.0,0.0
1759949271.2935545,0.00051,0.02,0.0,0.0,0.0
1759949276.7976465,0.0005,0.02,0.0,0.0,0.0
1759949284.5235784,0.00051,0.02,0.0,0.0,0.0
1759949290.0285344,0.0005,0.02,0.0,0.0,0.0
1759949295.533125,0.00048,0.01,0.0,0.0,0.0
1759949301.0379508,0.00044,0.01,0.0,0.0,0.0
1759949306.5422971,0.00044,0.01,0.0,0.0,0.0
1759949312.0467093,0.00043,0.01,0.0,0.0,0.0
1759949317.552649,0.00042,0.01,0.0,0.0,0.0
1759949323.0564167,-0.0001,-0.0,0.0,0.0,0.0
1759949328.5607827,-8e-05,-0.0,0.0,0.0,0.0
1759949334.0648806,-9e-05,-0.0,0.0,0.0,0.0
1759949339.5690038,-9e-05,-0.0,0.0,0.0,0.0
1759949345.0732133,-9e-05,-0.0,0.0,0.0,0.0
1759949350.5818713,-8e-05,-0.0,0.0,0.0,0.0
1759949356.0858996,-9e-05,-0.0,0.0,0.0,0.0
1759949361.591754,-0.0001,-0.0,0.0,0.0,0.0
1759949367.0960667,-7e-05,-0.0,0.0,0.0,0.0
1759949372.5999484,-9e-05,-0.0,0.0,0.0,0.0
1759949378.1042464,-8e-05,-0.0,0.0,0.0,0.0
1759949383.6082695,-9e-05,-0.0,0.0,49.7,0.0
1759949389.1132083,-8e-05,-0.0,0.0,49.1,0.0
1759949394.6181333,-6e-05,0.0,0.0,48.900000000000006,0.0
1759949400.1234033,-8e-05,-0.0,0.0,48.900000000000006,0.0
1759949405.6284642,-9e-05,-0.0,0.0,48.900000000000006,0.0
1759949411.1335146,-9e-05,-0.0,0.0,49.400000000000006,0.0
1759949416.6388474,-5e-05,0.0,0.0,0.0,0.0
1759949422.1439266,0.00047,0.01,0.0,0.0,0.0
1759952266.5442,-0.00019,-0.05,0.0,0.0,0.0
1759952272.0478349,-0.00019,-0.05,0.0,0.0,0.0
1759952277.5531812,-0.00019,-0.05,0.0,0.0,0.0
1759952290.2051873,-0.00019,-0.05,0.0,0.0,0.0
1759952295.7094846,-0.0002,-0.05,0.0,0.0,0.0
1759952301.5522008,-0.00019,-0.05,0.0,0.0,0.0
1759952307.0561311,-0.0002,-0.05,0.0,0.0,0.0
1759952312.5603843,-0.00019,-0.05,0.0,0.0,0.0
1759952318.064168,-0.0002,-0.05,0.0,0.0,0.0
1759952323.5679536,-0.0002,-0.05,0.0,0.0,0.0
1759952329.0721438,-0.0002,-0.05,0.0,0.0,0.0
1759952334.575953,-0.00019,-0.05,0.0,0.0,0.0
1759952340.0797932,-0.00019,-0.05,0.0,0.0,0.0
1759952345.5857086,-0.0002,-0.05,0.0,0.0,0.0
1759952351.0904589,-0.00019,-0.05,0.0,0.0,0.0
1759952356.5943096,-0.00019,-0.05,0.0,46.2,0.0
1759952362.0983968,-0.00019,-0.05,1.9000000000000001,48.5,39.175257731958766
1759952367.6074336,-0.00019,-0.05,3.3000000000000003,50.5,65.34653465346535
1759952373.1111042,-0.00019,-0.05,3.8000000000000003,51.400000000000006,73.92996108949417
1759952378.6152346,-0.00019,-0.05,4.2,52.300000000000004,80.30592734225621
1759952384.1192029,-0.00019,-0.05,4.800000000000001,53.300000000000004,90.05628517823641
1759952389.6233048,-0.00019,-0.05,5.2,50.800000000000004,102.36220472440944
1759952395.1271858,-0.00019,-0.05,5.2,50.800000000000004,102.36220472440944
1759952400.6309311,-0.0002,-0.05,5.2,50.7,102.56410256410255
1759952406.1348174,-1.0,-1.0,5.300000000000001,50.800000000000004,104.33070866141733
1759952411.638814,0.07591,24.02,5.300000000000001,50.800000000000004,104.33070866141733
1759952417.1426091,0.07581,23.98,5.300000000000001,50.800000000000004,104.33070866141733
1759952422.646369,0.0758,23.98,5.300000000000001,50.800000000000004,104.33070866141733
1759952428.1500823,0.0759,24.02,5.300000000000001,50.800000000000004,104.33070866141733
1759952433.653958,0.07586,24.0,5.300000000000001,50.800000000000004,104.33070866141733
1759952439.1577687,0.07587,24.01,5.300000000000001,50.800000000000004,104.33070866141733
1759952444.6617587,0.07587,24.01,5.300000000000001,50.800000000000004,104.33070866141733
1759952450.1660323,0.13966,86.91,5.300000000000001,50.900000000000006,104.12573673870335
1759952455.6703432,0.17495,127.17,5.300000000000001,50.800000000000004,104.33070866141733
1759952461.174827,0.17566,127.98,5.4,50.900000000000006,106.09037328094301
1759952466.6789887,0.12182,67.06,5.4,50.800000000000004,106.29921259842519
1759952472.182849,0.07742,24.73,5.4,50.900000000000006,106.09037328094301
1759952477.686657,0.07576,23.55,5.4,50.800000000000004,106.29921259842519
1759952483.190542,0.07552,23.53,5.4,50.800000000000004,106.29921259842519
1759952488.6943002,0.0755,23.6,5.4,50.800000000000004,106.29921259842519
1759952494.1982305,0.07575,23.73,5.4,50.800000000000004,106.29921259842519
1759952499.7023218,0.07581,23.76,5.4,50.800000000000004,106.29921259842519
1759952505.2060397,0.07597,23.84,5.4,50.800000000000004,106.29921259842519
1759952510.709749,-1.0,-1.0,5.4,50.800000000000004,106.29921259842519
1759952516.2135305,0.07552,23.42,5.4,50.800000000000004,106.29921259842519
1759952521.7172844,0.07553,23.43,5.4,50.800000000000004,106.29921259842519
1759952527.2211354,0.07556,23.45,5.4,50.800000000000004,106.29921259842519
1759952532.7251682,0.07557,23.46,5.4,50.800000000000004,106.29921259842519
1759952538.22891,0.07555,23.46,5.4,50.800000000000004,106.29921259842519
1759952543.732645,0.07558,23.47,5.4,50.900000000000006,106.09037328094301
1759952549.2365603,0.07561,23.48,5.4,50.800000000000004,106.29921259842519
1759952554.740352,0.07561,23.48,5.4,50.900000000000006,106.09037328094301
1759952560.2440932,0.07561,23.49,5.4,50.800000000000004,106.29921259842519
1759952565.7479951,0.07556,23.46,5.4,50.800000000000004,106.29921259842519
1759952571.2517953,0.07556,23.47,5.4,50.900000000000006,106.09037328094301
1759952576.7557158,0.07566,23.52,5.4,50.800000000000004,106.29921259842519
1759952582.2619424,0.0757,23.53,5.4,50.900000000000006,106.09037328094301
1759952587.7657635,0.07575,23.55,5.4,50.800000000000004,106.29921259842519
1759952593.269703,0.07567,23.51,5.4,50.800000000000004,106.29921259842519
1759952598.7738242,0.07557,23.47,5.4,50.900000000000006,106.09037328094301
1759952604.2778773,0.0756,23.5,5.4,50.800000000000004,106.29921259842519
1759952609.7818785,0.0756,23.5,5.4,50.900000000000006,106.09037328094301
1759952615.2850535,-1.0,-1.0,5.4,50.800000000000004,106.29921259842519
1759952620.788863,0.0756,23.51,5.4,50.800000000000004,106.29921259842519
1759952626.2928057,0.07579,23.52,5.4,50.800000000000004,106.29921259842519
1759952631.7967827,0.0758,23.52,5.4,50.900000000000006,106.09037328094301
1759952637.3007653,0.07581,23.53,5.4,50.800000000000004,106.29921259842519
1759952642.804782,0.07578,23.52,5.4,50.800000000000004,106.29921259842519
1759952648.3086007,0.07586,23.55,5.4,50.800000000000004,106.29921259842519
1759952653.8125477,0.07585,23.54,5.4,50.800000000000004,106.29921259842519
1759952659.3163772,0.07583,23.54,5.4,50.900000000000006,106.09037328094301
1759952664.820427,0.07581,23.53,5.4,50.800000000000004,106.29921259842519
1759952670.3242602,0.07584,23.54,5.4,50.800000000000004,106.29921259842519
1759952675.8281891,0.07584,23.54,5.4,50.800000000000004,106.29921259842519
1759952681.3320885,0.07579,23.52,5.4,50.800000000000004,106.29921259842519
1759952686.8360426,0.0758,23.54,5.4,50.800000000000004,106.29921259842519
1759952692.3399081,0.0759,23.57,5.5,50.800000000000004,108.26771653543307
1759952697.8437653,0.07588,23.55,5.4,50.7,106.50887573964496
1759952703.347563,0.07587,23.55,5.4,50.800000000000004,106.29921259842519
1759952708.8513563,0.07586,23.56,5.4,50.7,106.50887573964496
1759952714.3552394,0.07582,23.54,5.4,50.800000000000004,106.29921259842519
1759952719.8592067,0.07581,23.54,5.4,50.7,106.50887573964496
1759952725.3630173,-1.0,-1.0,5.4,50.7,106.50887573964496
1759952730.8669374,0.07595,23.22,5.4,50.800000000000004,106.29921259842519
1759952736.3708065,0.07597,23.24,5.4,50.7,106.50887573964496
1759952741.8746336,0.07613,23.32,5.4,50.800000000000004,106.29921259842519
1759952747.3785148,0.07596,23.24,5.4,50.7,106.50887573964496
1759952752.8823524,0.07598,23.24,5.4,50.800000000000004,106.29921259842519
1759952758.386304,0.07602,23.26,5.4,50.7,106.50887573964496
1759952763.8900807,0.07679,23.56,5.4,50.7,106.50887573964496
1759952769.3941996,0.07634,23.31,5.4,50.7,106.50887573964496
1759952774.899305,0.0759,23.09,5.4,50.6,106.7193675889328
1759952780.4045594,0.07588,23.08,5.4,50.7,106.50887573964496
